Código del ámbito,Ámbito,Código del área (M49),Área,Código del elemento,Elemento,Código del producto,Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6602","Agricultura","2008","2008","1000 ha","1793","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6602","Agricultura","2009","2009","1000 ha","1816","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6602","Agricultura","2010","2010","1000 ha","1819","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6602","Agricultura","2011","2011","1000 ha","1819","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6602","Agricultura","2012","2012","1000 ha","1812","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6602","Agricultura","2013","2013","1000 ha","1801","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6602","Agricultura","2014","2014","1000 ha","1785","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6602","Agricultura","2015","2015","1000 ha","1791.5","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6602","Agricultura","2016","2016","1000 ha","1777","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6602","Agricultura","2017","2017","1000 ha","1781","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6602","Agricultura","2018","2018","1000 ha","1782.5","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6602","Agricultura","2019","2019","1000 ha","1776","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6602","Agricultura","2020","2020","1000 ha","1786","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6602","Agricultura","2021","2021","1000 ha","1811","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6610","Tierras agrícolas","1961","1961","1000 ha","1395","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","7209","Proporción de superficie de tierra","6610","Tierras agrícolas","1961","1961","%","27.32","E","Valor estimado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6610","Tierras agrícolas","1962","1962","1000 ha","1410","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","7209","Proporción de superficie de tierra","6610","Tierras agrícolas","1962","1962","%","27.61","E","Valor estimado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6610","Tierras agrícolas","1963","1963","1000 ha","1420","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","7209","Proporción de superficie de tierra","6610","Tierras agrícolas","1963","1963","%","27.81","E","Valor estimado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6610","Tierras agrícolas","1964","1964","1000 ha","1485","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","7209","Proporción de superficie de tierra","6610","Tierras agrícolas","1964","1964","%","29.08","E","Valor estimado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6610","Tierras agrícolas","1965","1965","1000 ha","1555","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","7209","Proporción de superficie de tierra","6610","Tierras agrícolas","1965","1965","%","30.45","E","Valor estimado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6610","Tierras agrícolas","1966","1966","1000 ha","1635","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","7209","Proporción de superficie de tierra","6610","Tierras agrícolas","1966","1966","%","32.02","E","Valor estimado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6610","Tierras agrícolas","1967","1967","1000 ha","1636","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","7209","Proporción de superficie de tierra","6610","Tierras agrícolas","1967","1967","%","32.04","E","Valor estimado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6610","Tierras agrícolas","1968","1968","1000 ha","1716","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","7209","Proporción de superficie de tierra","6610","Tierras agrícolas","1968","1968","%","33.61","E","Valor estimado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6610","Tierras agrícolas","1969","1969","1000 ha","1790","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","7209","Proporción de superficie de tierra","6610","Tierras agrícolas","1969","1969","%","35.06","E","Valor estimado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6610","Tierras agrícolas","1970","1970","1000 ha","1856","A","Cifra oficial",""
